Long Station Name,Collection Date,EC,Ca,Sacramento X2,Location,Area,WYT,Data
Old River South of Rock Slough (St 5A),12/5/1980,220,13,81.24381742,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),12/16/1980,205,13,70.43542093,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),1/6/1981,209,14,79.42709404,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),1/20/1981,227,14,84.3665229,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),2/3/1981,325,18,59.47117587,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),2/16/1981,279,17,68.66305851,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),3/4/1981,263,17,75.67405581,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),3/20/1981,294,18,75.19545039,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),4/3/1981,360,20,60.26052112,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),4/23/1981,226,15,75.00542927,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),5/12/1981,269,14,80.86307077,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),6/2/1981,232,13,75.30547237,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),6/18/1981,243,13,80.97126487,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),6/30/1981,287,13,87.70223073,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),7/16/1981,366,12,87.76825037,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),8/3/1981,553,14,85.40012999,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),8/18/1981,628,14,87.20292234,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),9/2/1981,793,16,89.4339165,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),9/18/1981,758,17,85.78904211,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),10/14/1981,557,16,89.11569229,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),11/10/1981,545,17,88.94945498,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),11/24/1981,451,17,65.98476899,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),12/3/1981,423,18,52.53667998,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),12/18/1981,254,15,56.1313435,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),1/5/1982,240,16,0,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),2/5/1982,275,18,58.92308216,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),2/22/1982,295,18,0,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),3/15/1982,207,13,49.23180133,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),4/16/1982,348,18,0,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),5/5/1982,178,10,53.20631662,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),5/24/1982,196,11,58.78823135,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),6/22/1982,253,13,65.44959567,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),7/21/1982,244,12,78.29621658,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),8/17/1982,184,11,76.46364235,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),9/13/1982,208,12,66.6341757,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),10/19/1982,234,11,67.33005042,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),11/16/1982,180,10,65.44459814,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),12/14/1982,240,13,58.19292799,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),1/20/1983,281,15,63.15136317,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),2/17/1983,336,18,0,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),3/21/1983,338,17,0,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),4/18/1983,211,12,51.81872331,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),5/25/1983,170,11,53.44081668,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),7/20/1983,138,8,57.24485942,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),8/26/1983,175,10,63.12853224,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),9/16/1983,248,12,64.13561458,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),10/20/1983,154,8,64.89019526,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),11/15/1983,427,24,59.86273225,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),12/14/1983,192,10,49.15904734,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),1/18/1984,230,12,52.80804893,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),3/19/1984,261,14,57.98189429,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),4/16/1984,238,14,68.44196634,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),5/17/1984,201,12,71.23309041,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),6/22/1984,190,12,74.34286418,OMR,Interior,W,TT
Clifton Court Intake,6/27/1984,472,24,78.52956136,OMR,Interior,W,TT
Rock Slough @ Old River,6/27/1984,189,10,78.52956136,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),7/18/1984,209,10,75.88810175,OMR,Interior,W,TT
Clifton Court Intake,7/25/1984,212,12,75.0760343,OMR,Interior,W,TT
Rock Slough @ Old River,7/25/1984,217,10,75.0760343,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),8/20/1984,192,10,72.85477497,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),8/21/1984,232,11,77.90828234,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),9/17/1984,209,12,68.46687852,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),11/13/1984,177,11,76.76724225,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),1/22/1985,264,16,72.39109753,OMR,Interior,D,TT
Clifton Court Intake,1/30/1985,348,20,71.87547462,OMR,Interior,D,TT
Rock Slough @ Old River,1/30/1985,284,18,71.87547462,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),2/21/1985,271,16,68.61311727,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),3/15/1985,266,15,71.66117266,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),4/16/1985,240,17,77.63759448,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),5/16/1985,241,13,77.45709937,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),6/20/1985,302,12,86.18412719,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),10/22/1985,639,15,91.1066811,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),11/18/1985,992,18,93.20373275,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),12/17/1985,605,16,77.70271234,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),1/16/1986,530,16,84.02165809,OMR,Interior,W,TT
Clifton Court Intake,3/4/1986,306,15,0,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),3/21/1986,210,12,0,OMR,Interior,W,TT
Clifton Court Intake,4/9/1986,197,11,52.99907803,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),4/16/1986,203,11,57.82517336,OMR,Interior,W,TT
Clifton Court Intake,5/7/1986,280,16,66.57784182,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),5/20/1986,233,13,69.94743635,OMR,Interior,W,TT
Clifton Court Intake,6/4/1986,303,16,70.7018673,OMR,Interior,W,TT
Rock Slough @ Old River,7/2/1986,225,13,77.07568175,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),8/5/1986,723,39,80.38588581,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),8/7/1986,229,11,81.25987168,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),9/9/1986,308,13,80.98620884,OMR,Interior,W,TT
Rock Slough @ Old River,9/24/1986,285,18,76.64482557,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),4/7/1987,285,16,66.96371811,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),5/4/1987,284,15,81.35372487,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),6/1/1987,458,17,84.03896739,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),7/7/1987,505,16,85.52687347,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),8/3/1987,564,16,84.30302728,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),12/3/1987,1000,26,94.23731184,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),1/6/1988,669,20,87.58232555,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),3/1/1988,540,20,91.84800955,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),6/28/1988,533,18,88.84197167,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),6/28/1988,512,18,88.84197167,OMR,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,3/2/1989,1370,69,91.3346382,SJRcorridor,Interior,D,TT
Grant Ln Can @ Tracy Rd Bdg,3/2/1989,1430,74,91.3346382,SouthDelta,Interior,D,TT
Old River nr Tracy,3/2/1989,1410,65,91.3346382,SouthDelta,Interior,D,TT
Middle R @ Tracy Rd Bdg,3/2/1989,506,23,91.3346382,SouthDelta,Interior,D,TT
Old River South of Rock Slough (St 5A),3/3/1989,807,19,93.76129389,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),7/3/1989,282,13,84.23126759,OMR,Interior,D,TT
Middle River at Bacon Island Bridge,7/25/1989,200,16,80.02863026,OMR,Interior,D,TT
Old River North of Rock Slough (St 4b),7/25/1989,350,14,80.02863026,OMR,Interior,D,TT
San Joaquin River @ Mossdale Bridge - C7A,7/25/1989,800,54,80.02863026,SJRcorridor,Interior,D,TT
Little Connection Sl. @ Empire Tr.,7/25/1989,130,9,80.02863026,SJRcorridor,Interior,D,TT
Old River nr Tracy,7/25/1989,850,76,80.02863026,SouthDelta,Interior,D,TT
Grant Ln Can @ Tracy Rd Bdg,7/25/1989,800,68,80.02863026,SouthDelta,Interior,D,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/25/1989,800,63,80.02863026,SouthDelta,Interior,D,TT
Old River North of Rock Slough (St 4b),1/24/1990,804,16,79.66720736,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,1/24/1990,420,16,79.66720736,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,1/24/1990,204,14,79.66720736,SJRcorridor,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,1/24/1990,1310,63,79.66720736,SJRcorridor,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,1/24/1990,1200,57,79.66720736,SouthDelta,Interior,C,TT
Old River nr Tracy,1/24/1990,1190,56,79.66720736,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,1/24/1990,1100,53,79.66720736,SouthDelta,Interior,C,TT
Old River South of Rock Slough (St 5A),2/2/1990,711,17,83.0339583,OMR,Interior,C,TT
Clifton Court Intake,2/14/1990,515,18,84.5852336,OMR,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,2/14/1990,1300,65,84.5852336,SJRcorridor,Interior,C,TT
Old River nr Tracy,2/14/1990,1320,64,84.5852336,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,2/14/1990,1240,64,84.5852336,SouthDelta,Interior,C,TT
Clifton Court Intake,2/21/1990,472,18,80.12996718,OMR,Interior,C,TT
Rock Slough @ Old River,2/23/1990,598,18,83.08252588,OMR,Interior,C,TT
Rock Slough @ Old River,3/20/1990,548,17,85.09103604,OMR,Interior,C,TT
Clifton Court Intake,3/20/1990,404,17,85.09103604,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),4/1/1990,751,19,92.60495482,OMR,Interior,C,TT
Clifton Court Intake,4/24/1990,532,16,86.79032173,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),4/25/1990,905,18,87.22990049,OMR,Interior,C,TT
Rock Slough @ Old River,4/25/1990,864,18,87.22990049,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,4/25/1990,349,14,87.22990049,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,4/25/1990,164,12,87.22990049,SJRcorridor,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,4/25/1990,823,37,87.22990049,SJRcorridor,Interior,C,TT
Old River nr Tracy,4/25/1990,1120,61,87.22990049,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,4/25/1990,839,42,87.22990049,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,4/25/1990,671,28,87.22990049,SouthDelta,Interior,C,TT
Clifton Court Intake,5/23/1990,654,19,90.30188297,OMR,Interior,C,TT
Rock Slough @ Old River,5/23/1990,660,16,90.30188297,OMR,Interior,C,TT
Rock Slough @ Old River,6/26/1990,377,14,87.03302324,OMR,Interior,C,TT
Clifton Court Intake,6/27/1990,786,27,84.4854239,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,7/9/1990,330,17,87.6328401,OMR,Interior,C,TT
Rock Slough @ Old River,7/10/1990,449,16,87.75334412,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),7/10/1990,408,15,87.75334412,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/10/1990,367,17,87.75334412,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,7/16/1990,303,16,85.00509504,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),7/16/1990,450,15,85.00509504,OMR,Interior,C,TT
Rock Slough @ Old River,7/16/1990,441,15,85.00509504,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/16/1990,777,38,85.00509504,SouthDelta,Interior,C,TT
Clifton Court Intake,7/25/1990,457,15,87.85147172,OMR,Interior,C,TT
Rock Slough @ Old River,7/26/1990,572,14,86.56430395,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),7/26/1990,524,14,86.56430395,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,7/26/1990,286,14,86.56430395,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,7/26/1990,160,11,86.56430395,SJRcorridor,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,7/26/1990,853,44,86.56430395,SJRcorridor,Interior,C,TT
Old River nr Tracy,7/26/1990,916,47,86.56430395,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,7/26/1990,843,45,86.56430395,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/26/1990,396,16,86.56430395,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,7/30/1990,281,14,85.42890232,OMR,Interior,C,TT
Rock Slough @ Old River,7/31/1990,547,14,85.26138636,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),7/31/1990,533,14,85.26138636,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/31/1990,828,42,85.26138636,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,8/6/1990,458,18,86.53798294,OMR,Interior,C,TT
Rock Slough @ Old River,8/7/1990,635,15,84.4251127,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/7/1990,595,15,84.4251127,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/7/1990,482,18,84.4251127,SouthDelta,Interior,C,TT
Rock Slough @ Old River,8/13/1990,508,13,82.37363354,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/13/1990,504,13,82.37363354,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,8/13/1990,296,12,82.37363354,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/13/1990,672,33,82.37363354,SouthDelta,Interior,C,TT
Clifton Court Intake,8/21/1990,397,14,82.94560259,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/22/1990,463,14,83.47764088,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,8/22/1990,269,14,83.47764088,OMR,Interior,C,TT
Rock Slough @ Old River,8/22/1990,477,13,83.47764088,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,8/22/1990,178,13,83.47764088,SJRcorridor,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,8/22/1990,738,38,83.47764088,SJRcorridor,Interior,C,TT
Old River nr Tracy,8/22/1990,857,44,83.47764088,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,8/22/1990,735,37,83.47764088,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/22/1990,652,32,83.47764088,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,8/27/1990,267,13,83.52017111,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/28/1990,464,14,84.07314596,OMR,Interior,C,TT
Rock Slough @ Old River,8/28/1990,461,14,84.07314596,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/28/1990,644,32,84.07314596,SouthDelta,Interior,C,TT
Old River South of Rock Slough (St 5A),9/4/1990,479,14,85.84737194,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,9/4/1990,293,14,85.84737194,OMR,Interior,C,TT
Rock Slough @ Old River,9/5/1990,483,14,86.59648732,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),9/5/1990,474,14,86.59648732,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/5/1990,816,40,86.59648732,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,9/10/1990,302,15,83.68375569,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),9/11/1990,527,15,86.1336185,OMR,Interior,C,TT
Rock Slough @ Old River,9/11/1990,510,15,86.1336185,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/11/1990,397,16,86.1336185,SouthDelta,Interior,C,TT
Rock Slough @ Old River,9/17/1990,548,16,85.19881494,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),9/17/1990,544,16,85.19881494,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/17/1990,422,18,85.19881494,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,9/18/1990,327,16,87.49634818,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,9/24/1990,368,18,90.82305445,OMR,Interior,C,TT
Clifton Court Intake,9/24/1990,504,16,90.82305445,OMR,Interior,C,TT
Rock Slough @ Old River,9/25/1990,583,16,91.8739207,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),9/25/1990,573,16,91.8739207,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/25/1990,447,17,91.8739207,SouthDelta,Interior,C,TT
Rock Slough @ Old River,10/1/1990,618,18,91.47315676,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/1/1990,613,17,91.47315676,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/1/1990,595,27,91.47315676,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,10/2/1990,437,19,92.40360011,OMR,Interior,C,TT
Contra Costa PP Number 01,10/2/1990,625,17,92.40360011,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,10/10/1990,481,21,93.96433834,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/11/1990,836,19,94.23950241,OMR,Interior,C,TT
Rock Slough @ Old River,10/11/1990,816,19,94.23950241,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/11/1990,631,24,94.23950241,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,10/16/1990,542,22,94.0236734,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/17/1990,863,19,93.81403956,OMR,Interior,C,TT
Rock Slough @ Old River,10/17/1990,847,19,93.81403956,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/17/1990,761,31,93.81403956,SouthDelta,Interior,C,TT
Clifton Court Intake,10/23/1990,710,21,94.64630634,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,10/24/1990,585,23,94.04183083,OMR,Interior,C,TT
Rock Slough @ Old River,10/24/1990,960,20,94.04183083,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/24/1990,921,20,94.04183083,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,10/24/1990,191,12,94.04183083,SJRcorridor,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,10/24/1990,739,36,94.04183083,SJRcorridor,Interior,C,TT
Old River nr Tracy,10/24/1990,1140,59,94.04183083,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,10/24/1990,1030,51,94.04183083,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/24/1990,703,21,94.04183083,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,10/30/1990,656,28,93.26510574,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/31/1990,832,19,92.89347904,OMR,Interior,C,TT
Rock Slough @ Old River,10/31/1990,828,19,92.89347904,OMR,Interior,C,TT
