Long Station Name,Collection Date,EC,Br,Sacramento X2,Location,Area,WYT,Data
Contra Costa PP Number 01,6/23/1992,885,0.62,92.2794422,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,6/25/1992,564,0.33,90.85817896,OMR,Interior,C,TT
Clifton Court Intake,6/25/1992,724,0.47,90.85817896,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/9/1992,724,0.48,91.63677332,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),7/9/1992,795,0.6,91.63677332,OMR,Interior,C,TT
Rock Slough @ Old River,7/9/1992,812,0.63,91.63677332,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,7/22/1992,179,0.06,92.3938467,SJRcorridor,Interior,C,TT
Middle River at Bacon Island Bridge,7/22/1992,527,0.36,92.3938467,OMR,Interior,C,TT
Rock Slough @ Old River,7/22/1992,899,0.73,92.3938467,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/22/1992,900,0.48,92.3938467,SouthDelta,Interior,C,TT
Contra Costa PP Number 01,7/22/1992,905,0.68,92.3938467,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),7/22/1992,909,0.75,92.3938467,OMR,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,7/22/1992,979,0.57,92.3938467,SJRcorridor,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,7/22/1992,1100,0.64,92.3938467,SouthDelta,Interior,C,TT
Old River nr Tracy,7/22/1992,1120,0.63,92.3938467,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,8/4/1992,571,0.39,93.425676,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/6/1992,840,0.66,92.5804813,OMR,Interior,C,TT
Rock Slough @ Old River,8/6/1992,878,0.69,92.5804813,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,8/19/1992,163,0.03,92.0935494,SJRcorridor,Interior,C,TT
Middle River at Bacon Island Bridge,8/19/1992,484,0.3,92.0935494,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/19/1992,822,0.51,92.0935494,SouthDelta,Interior,C,TT
Rock Slough @ Old River,8/19/1992,901,0.72,92.0935494,OMR,Interior,C,TT
Contra Costa PP Number 01,8/19/1992,904,0.74,92.0935494,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/19/1992,915,0.73,92.0935494,OMR,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,8/19/1992,1080,0.63,92.0935494,SouthDelta,Interior,C,TT
Old River nr Tracy,8/19/1992,1160,0.69,92.0935494,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,9/1/1992,465,0.29,91.88565434,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),9/3/1992,930,0.8,90.77667797,OMR,Interior,C,TT
Rock Slough @ Old River,9/3/1992,933,0.8,90.77667797,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/3/1992,956,0.49,90.77667797,SouthDelta,Interior,C,TT
Contra Costa PP Number 01,9/22/1992,882,0.71,92.38888101,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,9/24/1992,458,0.24,92.85385013,OMR,Interior,C,TT
Clifton Court Intake,9/24/1992,717,0.53,92.85385013,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,10/7/1992,232,0.06,92.45317986,SJRcorridor,Interior,AN,TT
Middle River at Bacon Island Bridge,10/7/1992,522,0.31,92.45317986,OMR,Interior,AN,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/7/1992,684,0.43,92.45317986,SouthDelta,Interior,AN,TT
Old River North of Rock Slough (St 4b),10/7/1992,835,0.68,92.45317986,OMR,Interior,AN,TT
Rock Slough @ Old River,10/7/1992,849,0.7,92.45317986,OMR,Interior,AN,TT
Grant Ln Can @ Tracy Rd Bdg,10/7/1992,881,0.45,92.45317986,SouthDelta,Interior,AN,TT
Contra Costa PP Number 01,10/7/1992,900,0.71,92.45317986,OMR,Interior,AN,TT
San Joaquin River @ Mossdale Bridge - C7A,10/7/1992,944,0.54,92.45317986,SJRcorridor,Interior,AN,TT
Old River nr Tracy,10/7/1992,974,0.52,92.45317986,SouthDelta,Interior,AN,TT
Middle River at Bacon Island Bridge,10/19/1992,534,0.28,94.57151352,OMR,Interior,AN,TT
Old River North of Rock Slough (St 4b),10/20/1992,766,0.6,94.16017229,OMR,Interior,AN,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/20/1992,795,0.48,94.16017229,SouthDelta,Interior,AN,TT
Rock Slough @ Old River,10/20/1992,811,0.62,94.16017229,OMR,Interior,AN,TT
Contra Costa PP Number 01,11/17/1992,943,0.64,94.87189975,OMR,Interior,AN,TT
Middle River at Bacon Island Bridge,11/19/1992,607,0.37,93.66767375,OMR,Interior,AN,TT
Clifton Court Intake,11/19/1992,737,0.5,93.66767375,OMR,Interior,AN,TT
Contra Costa PP Number 01,12/8/1992,933,0.72,96.70881536,OMR,Interior,AN,TT
Middle River at Bacon Island Bridge,12/10/1992,686,0.42,95.44056579,OMR,Interior,AN,TT
Clifton Court Intake,12/10/1992,875,0.48,95.44056579,OMR,Interior,AN,TT
Little Connection Sl. @ Empire Tr.,1/13/1993,247,0.05,64.09402935,SJRcorridor,Interior,AN,TT
Old River nr Tracy,1/13/1993,332,0.08,64.09402935,SouthDelta,Interior,AN,TT
San Joaquin River @ Mossdale Bridge - C7A,1/13/1993,357,0.09,64.09402935,SJRcorridor,Interior,AN,TT
Grant Ln Can @ Tracy Rd Bdg,1/13/1993,376,0.11,64.09402935,SouthDelta,Interior,AN,TT
Middle River at Bacon Island Bridge,1/13/1993,423,0.2,64.09402935,OMR,Interior,AN,TT
Contra Costa PP Number 01,1/13/1993,633,0.29,64.09402935,OMR,Interior,AN,TT
Middle River at Bacon Island Bridge,1/26/1993,373,0.1,53.01541285,OMR,Interior,AN,TT
Rock Slough @ Old River,1/27/1993,294,0.07,54.16889291,OMR,Interior,AN,TT
Old River North of Rock Slough (St 4b),1/27/1993,302,0.07,54.16889291,OMR,Interior,AN,TT
Middle River at Bacon Island Bridge,2/9/1993,320,0.1,67.78217395,OMR,Interior,AN,TT
Clifton Court Intake,2/9/1993,345,0.09,67.78217395,OMR,Interior,AN,TT
Contra Costa PP Number 01,2/10/1993,361,0.08,66.22571537,OMR,Interior,AN,TT
Middle River at Bacon Island Bridge,2/16/1993,524,0.17,58.91466321,OMR,Interior,AN,TT
Rock Slough @ Old River,2/18/1993,290,0.06,59.5796831,OMR,Interior,AN,TT
Middle River at Bacon Island Bridge,3/9/1993,471,0.14,59.04059358,OMR,Interior,AN,TT
Clifton Court Intake,3/9/1993,730,0.24,59.04059358,OMR,Interior,AN,TT
Contra Costa PP Number 01,3/11/1993,801,0.24,59.02850507,OMR,Interior,AN,TT
Old River North of Rock Slough (St 4b),3/23/1993,288,0.07,56.65439542,OMR,Interior,AN,TT
Rock Slough @ Old River,3/23/1993,301,0.07,56.65439542,OMR,Interior,AN,TT
Middle River at Bacon Island Bridge,3/25/1993,416,0.12,54.90975845,OMR,Interior,AN,TT
Clifton Court Intake,4/8/1993,400,0.12,54.30864006,OMR,Interior,AN,TT
Middle River at Bacon Island Bridge,4/8/1993,465,0.15,54.30864006,OMR,Interior,AN,TT
Little Connection Sl. @ Empire Tr.,4/21/1993,145,0.02,62.38347365,SJRcorridor,Interior,AN,TT
Rock Slough @ Old River,4/21/1993,211,0.04,62.38347365,OMR,Interior,AN,TT
Old River North of Rock Slough (St 4b),4/21/1993,212,0.04,62.38347365,OMR,Interior,AN,TT
Contra Costa PP Number 01,4/21/1993,265,0.06,62.38347365,OMR,Interior,AN,TT
Middle River at Bacon Island Bridge,4/21/1993,440,0.14,62.38347365,OMR,Interior,AN,TT
San Joaquin River @ Mossdale Bridge - C7A,4/21/1993,601,0.19,62.38347365,SJRcorridor,Interior,AN,TT
Grant Ln Can @ Tracy Rd Bdg,4/21/1993,615,0.2,62.38347365,SouthDelta,Interior,AN,TT
Old River nr Tracy,4/21/1993,802,0.28,62.38347365,SouthDelta,Interior,AN,TT
Contra Costa PP Number 01,5/12/1993,410,0.12,63.16142825,OMR,Interior,AN,TT
Middle River at Bacon Island Bridge,5/13/1993,411,0.13,61.911538,OMR,Interior,AN,TT
Clifton Court Intake,5/13/1993,456,0.16,61.911538,OMR,Interior,AN,TT
Contra Costa PP Number 01,6/8/1993,250,0.06,57.7015985,OMR,Interior,AN,TT
Clifton Court Intake,6/10/1993,301,0.08,57.844797,OMR,Interior,AN,TT
Middle River at Bacon Island Bridge,6/10/1993,337,0.1,57.844797,OMR,Interior,AN,TT
Little Connection Sl. @ Empire Tr.,7/8/1993,120,0.02,75.05380959,SJRcorridor,Interior,AN,TT
Old River North of Rock Slough (St 4b),7/8/1993,148,0.03,75.05380959,OMR,Interior,AN,TT
Rock Slough @ Old River,7/8/1993,156,0.04,75.05380959,OMR,Interior,AN,TT
Contra Costa PP Number 01,7/8/1993,159,0.03,75.05380959,OMR,Interior,AN,TT
Middle River at Bacon Island Bridge,7/8/1993,203,0.06,75.05380959,OMR,Interior,AN,TT
San Joaquin River @ Mossdale Bridge - C7A,7/8/1993,842,0.36,75.05380959,SJRcorridor,Interior,AN,TT
Grant Ln Can @ Tracy Rd Bdg,7/8/1993,855,0.37,75.05380959,SouthDelta,Interior,AN,TT
Old River nr Tracy,7/8/1993,950,0.44,75.05380959,SouthDelta,Interior,AN,TT
Middle River at Bacon Island Bridge,7/20/1993,161,0.04,75.81769133,OMR,Interior,AN,TT
Clifton Court Intake,7/20/1993,166,0.04,75.81769133,OMR,Interior,AN,TT
Contra Costa PP Number 01,7/22/1993,159,0.04,69.41514716,OMR,Interior,AN,TT
Middle River at Bacon Island Bridge,8/10/1993,147,0.03,70.9026113,OMR,Interior,AN,TT
Clifton Court Intake,8/10/1993,348,0.13,70.9026113,OMR,Interior,AN,TT
Contra Costa PP Number 01,8/12/1993,185,0.06,71.58781984,OMR,Interior,AN,TT
Little Connection Sl. @ Empire Tr.,9/1/1993,162,0.04,78.41118016,SJRcorridor,Interior,AN,TT
Middle River at Bacon Island Bridge,9/1/1993,175,0.04,78.41118016,OMR,Interior,AN,TT
Contra Costa PP Number 01,9/1/1993,205,0.06,78.41118016,OMR,Interior,AN,TT
Old River North of Rock Slough (St 4b),9/1/1993,212,0.08,78.41118016,OMR,Interior,AN,TT
Rock Slough @ Old River,9/1/1993,216,0.08,78.41118016,OMR,Interior,AN,TT
San Joaquin River @ Mossdale Bridge - C7A,9/1/1993,349,0.12,78.41118016,SJRcorridor,Interior,AN,TT
Grant Ln Can @ Tracy Rd Bdg,9/1/1993,386,0.13,78.41118016,SouthDelta,Interior,AN,TT
Old River nr Tracy,9/1/1993,530,0.21,78.41118016,SouthDelta,Interior,AN,TT
Clifton Court Intake,9/21/1993,245,0.08,80.87356521,OMR,Interior,AN,TT
Middle River at Bacon Island Bridge,9/21/1993,275,0.08,80.87356521,OMR,Interior,AN,TT
Contra Costa PP Number 01,9/23/1993,285,0.11,83.44869348,OMR,Interior,AN,TT
Contra Costa PP Number 01,10/5/1993,368,0.16,83.89162437,OMR,Interior,C,TT
Clifton Court Intake,10/14/1993,287,0.1,84.61138109,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,10/14/1993,295,0.11,84.61138109,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,10/20/1993,151,0.03,84.89979461,SJRcorridor,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,10/20/1993,244,0.08,84.89979461,SouthDelta,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,10/20/1993,245,0.07,84.89979461,SJRcorridor,Interior,C,TT
Old River nr Tracy,10/20/1993,249,0.08,84.89979461,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,10/20/1993,287,0.1,84.89979461,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/20/1993,318,0.14,84.89979461,SouthDelta,Interior,C,TT
Rock Slough @ Old River,10/20/1993,425,0.26,84.89979461,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/20/1993,436,0.27,84.89979461,OMR,Interior,C,TT
Contra Costa PP Number 01,10/20/1993,458,0.25,84.89979461,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,11/10/1993,293,0.14,87.72748074,OMR,Interior,C,TT
Clifton Court Intake,11/10/1993,418,0.26,87.72748074,OMR,Interior,C,TT
Contra Costa PP Number 01,11/17/1993,647,0.48,88.13138401,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,12/15/1993,305,0.13,84.34978841,OMR,Interior,C,TT
Clifton Court Intake,12/15/1993,490,0.32,84.34978841,OMR,Interior,C,TT
Contra Costa PP Number 01,12/16/1993,566,0.38,82.70555681,OMR,Interior,C,TT
Contra Costa PP Number 01,1/5/1994,403,0.21,81.23635172,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,1/12/1994,227,0.05,82.38546939,SJRcorridor,Interior,C,TT
Middle River at Bacon Island Bridge,1/12/1994,311,0.11,82.38546939,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),1/12/1994,337,0.16,82.38546939,OMR,Interior,C,TT
Rock Slough @ Old River,1/12/1994,341,0.16,82.38546939,OMR,Interior,C,TT
Contra Costa PP Number 01,1/12/1994,482,0.2,82.38546939,OMR,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,1/12/1994,726,0.31,82.38546939,SouthDelta,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,1/12/1994,731,0.32,82.38546939,SJRcorridor,Interior,C,TT
Old River nr Tracy,1/12/1994,771,0.33,82.38546939,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,1/19/1994,356,0.14,80.49647088,OMR,Interior,C,TT
Clifton Court Intake,1/19/1994,367,0.15,80.49647088,OMR,Interior,C,TT
Contra Costa PP Number 01,2/9/1994,388,0.16,80.94524586,OMR,Interior,C,TT
Rock Slough @ Old River,2/17/1994,370,0.15,75.37363149,OMR,Interior,C,TT
Clifton Court Intake,2/17/1994,415,0.17,75.37363149,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,2/17/1994,482,0.18,75.37363149,OMR,Interior,C,TT
Rock Slough @ Old River,3/24/1994,328,0.09,72.52425966,OMR,Interior,C,TT
Clifton Court Intake,3/24/1994,437,0.14,72.52425966,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,3/24/1994,516,0.18,72.52425966,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,4/20/1994,236,0.06,78.884997,SJRcorridor,Interior,C,TT
Old River North of Rock Slough (St 4b),4/20/1994,348,0.11,78.884997,OMR,Interior,C,TT
Rock Slough @ Old River,4/20/1994,357,0.11,78.884997,OMR,Interior,C,TT
Contra Costa PP Number 01,4/20/1994,375,0.12,78.884997,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,4/20/1994,441,0.17,78.884997,OMR,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,4/20/1994,824,0.39,78.884997,SouthDelta,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,4/20/1994,880,0.41,78.884997,SJRcorridor,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,4/20/1994,922,0.4,78.884997,SouthDelta,Interior,C,TT
Old River nr Tracy,4/20/1994,942,0.44,78.884997,SouthDelta,Interior,C,TT
Rock Slough @ Old River,5/19/1994,395,0.15,76.51544974,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,5/19/1994,499,0.2,76.51544974,OMR,Interior,C,TT
Clifton Court Intake,5/19/1994,599,0.24,76.51544974,OMR,Interior,C,TT
Contra Costa PP Number 01,5/26/1994,427,0.15,79.98947042,OMR,Interior,C,TT
Contra Costa PP Number 01,6/16/1994,407,0.19,86.55672415,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,6/22/1994,389,0.18,89.49535368,OMR,Interior,C,TT
Rock Slough @ Old River,6/22/1994,450,0.21,89.49535368,OMR,Interior,C,TT
Clifton Court Intake,6/22/1994,450,0.2,89.49535368,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,7/20/1994,248,0.1,90.6143213,SJRcorridor,Interior,C,TT
Middle River at Bacon Island Bridge,7/20/1994,365,0.18,90.6143213,OMR,Interior,C,TT
Contra Costa PP Number 01,7/20/1994,666,0.46,90.6143213,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),7/20/1994,690,0.49,90.6143213,OMR,Interior,C,TT
Rock Slough @ Old River,7/20/1994,692,0.51,90.6143213,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/20/1994,852,0.41,90.6143213,SouthDelta,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,7/20/1994,942,0.46,90.6143213,SJRcorridor,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,7/20/1994,956,0.41,90.6143213,SouthDelta,Interior,C,TT
Contra Costa PP Number 01,8/23/1994,703,0.51,91.93258472,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,8/25/1994,336,0.15,90.48799198,OMR,Interior,C,TT
Clifton Court Intake,8/25/1994,597,0.39,90.48799198,OMR,Interior,C,TT
Rock Slough @ Old River,8/25/1994,805,0.59,90.48799198,OMR,Interior,C,TT
Contra Costa PP Number 01,9/20/1994,935,0.72,92.37559029,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,9/22/1994,407,0.18,90.04354307,OMR,Interior,C,TT
Clifton Court Intake,9/22/1994,667,0.43,90.04354307,OMR,Interior,C,TT
Rock Slough @ Old River,9/22/1994,988,0.74,90.04354307,OMR,Interior,C,TT
Contra Costa PP Number 01,10/13/1994,569,0.35,90.78710967,OMR,Interior,W,TT
Clifton Court Intake,10/20/1994,451,0.19,92.73586707,OMR,Interior,W,TT
Middle River at Bacon Island Bridge,10/20/1994,464,0.2,92.73586707,OMR,Interior,W,TT
Rock Slough @ Old River,10/20/1994,636,0.41,92.73586707,OMR,Interior,W,TT
Contra Costa PP Number 01,11/9/1994,988,0.52,92.63852791,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,11/17/1994,796,0.41,91.53716312,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,12/13/1994,814,0.57,82.54298007,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,12/20/1994,946,0.42,81.11970496,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,1/17/1995,709,0.35,46.35508675,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,1/26/1995,383,0.08,53.05662006,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,2/6/1995,533,0.14,48.45038827,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,2/16/1995,487,0.13,49.77058978,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,3/13/1995,322,0.08,37.53111646,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,3/20/1995,301,0.05,35.26878783,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,4/10/1995,635,0.22,50.51772825,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,4/24/1995,184,0.1,55.06228913,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,5/10/1995,307,0.09,49.34111805,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,5/18/1995,143,0.03,50.95156216,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,6/14/1995,214,0.07,58.38588799,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,6/22/1995,240,0.08,57.6171137,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,7/12/1995,146,0.04,65.49822638,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,7/20/1995,218,0.06,58.74876866,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,8/9/1995,150,0.03,68.77947219,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,8/17/1995,633,0.23,74.57233985,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,9/6/1995,187,0.04,67.21706163,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,9/14/1995,387,0.13,67.19233682,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,10/11/1995,193,0.04,69.40952731,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,10/19/1995,202,0.06,74.05131326,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,11/8/1995,200,0.04,81.20170079,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,11/16/1995,750,0.31,79.55759468,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,12/6/1995,213,0.05,79.32528838,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,12/7/1995,746,0.32,79.94458802,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,1/10/1996,303,0.08,68.97868863,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,1/18/1996,946,0.37,81.11891586,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,2/8/1996,397,0.12,47.52751567,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,2/15/1996,290,0.08,53.64428507,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,3/7/1996,898,0.34,46.46251523,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,3/14/1996,253,0.06,48.94207006,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,4/4/1996,554,0.18,58.29157662,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,4/11/1996,413,0.13,53.46132043,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,5/2/1996,516,0.18,66.95278638,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,5/9/1996,336,0.11,62.32099718,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,6/6/1996,277,0.08,61.33562885,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,6/13/1996,592,0.24,65.4871296,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,7/11/1996,175,0.03,75.57077698,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,7/18/1996,774,0.31,73.33974661,SJRcorridor,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,8/15/1996,747,0.31,77.45680181,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,9/5/1996,283,0.11,73.8076039,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,9/12/1996,666,0.27,76.73553471,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,10/3/1996,292,0.12,81.93439648,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,10/10/1996,609,0.26,83.55493234,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,11/7/1996,495,0.3,84.27562766,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,11/14/1996,690,0.27,87.30019572,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,12/5/1996,688,0.41,78.03491703,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,12/12/1996,220,0.04,67.9766535,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,1/9/1997,427,0.15,31.8495819,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,2/13/1997,185,0.04,47.19212894,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,3/12/1997,314,0.08,55.67296976,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,3/13/1997,338,0.1,55.45327752,SJRcorridor,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,4/9/1997,788,0.3,73.79612645,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,4/10/1997,272,0.07,73.77999403,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,5/13/1997,346,0.11,71.63203277,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,5/13/1997,363,0.11,71.63203277,OMR,Interior,W,TT
Contra Costa PP Number 01,6/4/1997,294,0.09,78.50514499,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,6/4/1997,560,0.22,78.50514499,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,7/1/1997,249,0.07,78.99333076,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,7/2/1997,620,0.24,78.23532434,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,8/6/1997,267,0.12,77.35304839,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,8/7/1997,663,0.27,77.94958475,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,9/2/1997,269,0.08,77.2650624,OMR,Interior,W,TT
San Joaquin River @ Mossdale Bridge - C7A,9/2/1997,671,0.26,77.2650624,SJRcorridor,Interior,W,TT
Contra Costa PP Number 01,11/5/1997,948,0.78,91.80829068,OMR,Interior,W,TT
Contra Costa PP Number 01,12/10/1997,1080,0.67,71.95083355,OMR,Interior,W,TT
Contra Costa PP Number 01,1/6/1998,920,0.52,80.42409534,OMR,Interior,W,TT
Contra Costa PP Number 01,2/5/1998,879,0.38,41.15155574,OMR,Interior,W,TT
Contra Costa PP Number 01,3/3/1998,1100,0.39,46.174655,OMR,Interior,W,TT
Old River @ Middle River,6/9/1998,236,0.07,51.89782644,SouthDelta,Interior,W,TT
Contra Costa PP Number 01,7/8/1998,233,0.06,56.61660003,OMR,Interior,W,TT
Contra Costa PP Number 01,8/5/1998,190,0.05,70.95431958,OMR,Interior,W,TT
Contra Costa PP Number 01,9/2/1998,161,0.03,67.79734317,OMR,Interior,W,TT
Contra Costa PP Number 01,10/14/1998,208,0.04,70.16642583,OMR,Interior,W,TT
Contra Costa PP Number 01,11/4/1998,190,0.04,78.12007996,OMR,Interior,W,TT
Contra Costa PP Number 01,12/2/1998,289,0.09,64.89739823,OMR,Interior,W,TT
Contra Costa PP Number 01,1/6/1999,459,0.15,64.63920091,OMR,Interior,W,TT
Contra Costa PP Number 01,2/3/1999,352,0.11,51.6298188,OMR,Interior,W,TT
Contra Costa PP Number 01,4/8/1999,324,0.1,57.34361395,OMR,Interior,W,TT
Contra Costa PP Number 01,5/5/1999,451,0.15,57.23000982,OMR,Interior,W,TT
Contra Costa PP Number 01,6/2/1999,288,0.08,67.44761682,OMR,Interior,W,TT
Contra Costa PP Number 01,7/8/1999,211,0.05,73.33227294,OMR,Interior,W,TT
Contra Costa PP Number 01,8/5/1999,218,0.06,71.77110367,OMR,Interior,W,TT
Contra Costa PP Number 01,10/7/1999,892,0.44,85.55971154,OMR,Interior,AN,TT
Contra Costa PP Number 01,12/7/1999,1390,0.66,84.3486242,OMR,Interior,AN,TT
Contra Costa PP Number 01,1/4/2000,1186,0.77,80.55744457,OMR,Interior,AN,TT
Contra Costa PP Number 01,2/8/2000,385,0.12,57.61717763,OMR,Interior,AN,TT
Contra Costa PP Number 01,3/7/2000,1125,0.35,48.16682697,OMR,Interior,AN,TT
Contra Costa PP Number 01,4/4/2000,391,0.09,70.46558651,OMR,Interior,AN,TT
Contra Costa PP Number 01,5/2/2000,381,0.1,63.70366373,OMR,Interior,AN,TT
Contra Costa PP Number 01,6/6/2000,254,0.06,72.94579268,OMR,Interior,AN,TT
Contra Costa PP Number 01,7/3/2000,229,0.05,80.70368222,OMR,Interior,AN,TT
Contra Costa PP Number 01,8/2/2000,244,0.07,77.4197889,OMR,Interior,AN,TT
Contra Costa PP Number 01,10/3/2000,548,0.34,87.25802224,OMR,Interior,D,TT
Contra Costa PP Number 01,11/7/2000,668,0.43,84.3926938,OMR,Interior,D,TT
