Long Station Name,Collection Date,EC,Br,Sacramento X2,Location,Area,WYT,Data
Middle River at Bacon Island Bridge,9/24/1990,368,0.21,90.82305445,OMR,Interior,C,TT
Clifton Court Intake,9/24/1990,504,0.41,90.82305445,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/25/1990,447,0.33,91.8739207,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),9/25/1990,573,0.46,91.8739207,OMR,Interior,C,TT
Rock Slough @ Old River,9/25/1990,583,0.49,91.8739207,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/1/1990,595,0.38,91.47315676,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),10/1/1990,613,0.51,91.47315676,OMR,Interior,C,TT
Rock Slough @ Old River,10/1/1990,618,0.53,91.47315676,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,10/2/1990,437,0.25,92.40360011,OMR,Interior,C,TT
Contra Costa PP Number 01,10/2/1990,625,0.51,92.40360011,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,10/10/1990,481,0.26,93.96433834,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/11/1990,631,0.39,94.23950241,SouthDelta,Interior,C,TT
Rock Slough @ Old River,10/11/1990,816,0.7,94.23950241,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/11/1990,836,0.74,94.23950241,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,10/16/1990,542,0.35,94.0236734,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/17/1990,761,0.45,93.81403956,SouthDelta,Interior,C,TT
Rock Slough @ Old River,10/17/1990,847,0.69,93.81403956,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/17/1990,863,0.67,93.81403956,OMR,Interior,C,TT
Clifton Court Intake,10/23/1990,710,0.52,94.64630634,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,10/24/1990,191,0.04,94.04183083,SJRcorridor,Interior,C,TT
Middle River at Bacon Island Bridge,10/24/1990,585,0.39,94.04183083,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/24/1990,703,0.49,94.04183083,SouthDelta,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,10/24/1990,739,0.37,94.04183083,SJRcorridor,Interior,C,TT
Old River North of Rock Slough (St 4b),10/24/1990,921,0.76,94.04183083,OMR,Interior,C,TT
Rock Slough @ Old River,10/24/1990,960,0.77,94.04183083,OMR,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,10/24/1990,1030,0.51,94.04183083,SouthDelta,Interior,C,TT
Old River nr Tracy,10/24/1990,1140,0.59,94.04183083,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,10/30/1990,656,0.38,93.26510574,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/31/1990,817,0.53,92.89347904,SouthDelta,Interior,C,TT
Rock Slough @ Old River,10/31/1990,828,0.68,92.89347904,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/31/1990,832,0.66,92.89347904,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,11/13/1990,625,0.32,93.89378554,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,11/14/1990,715,0.44,93.90716742,SouthDelta,Interior,C,TT
Rock Slough @ Old River,11/14/1990,848,0.64,93.90716742,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),11/14/1990,859,0.67,93.90716742,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,11/27/1990,618,0.35,93.19458317,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,11/28/1990,829,0.43,92.60675328,SouthDelta,Interior,C,TT
Rock Slough @ Old River,11/28/1990,949,0.77,92.60675328,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),11/28/1990,959,0.79,92.60675328,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,12/11/1990,542,0.3,93.08539402,OMR,Interior,C,TT
Clifton Court Intake,12/11/1990,853,0.63,93.08539402,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,12/12/1990,781,0.55,93.02603777,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),12/12/1990,1060,0.88,93.02603777,OMR,Interior,C,TT
Rock Slough @ Old River,12/12/1990,1100,0.91,93.02603777,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,1/2/1991,536,0.3,93.51732212,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),1/2/1991,880,0.7,93.51732212,OMR,Interior,C,TT
Rock Slough @ Old River,1/2/1991,907,0.73,93.51732212,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,1/2/1991,1100,0.53,93.51732212,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,1/15/1991,501,0.26,92.72130445,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),1/16/1991,861,0.68,92.74078739,OMR,Interior,C,TT
Rock Slough @ Old River,1/16/1991,862,0.68,92.74078739,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,1/16/1991,1150,0.53,92.74078739,SouthDelta,Interior,C,TT
Little Connection Sl. @ Empire Tr.,1/29/1991,344,0.11,94.90599798,SJRcorridor,Interior,C,TT
Middle River at Bacon Island Bridge,1/29/1991,532,0.29,94.90599798,OMR,Interior,C,TT
