Long Station Name,Collection Date,EC,Cl,Sacramento X2,Location,Area,WYT,Data
Old River nr Tracy,3/2/1989,1410,208,91.3346382,SouthDelta,Interior,D,TT
Grant Ln Can @ Tracy Rd Bdg,3/2/1989,1430,206,91.3346382,SouthDelta,Interior,D,TT
Middle R @ Tracy Rd Bdg,3/2/1989,506,81,91.3346382,SouthDelta,Interior,D,TT
Old River South of Rock Slough (St 5A),3/3/1989,807,174,93.76129389,OMR,Interior,D,TT
Rock Slough @ Old River,3/7/1989,852,192,84.84379302,OMR,Interior,D,TT
Clifton Court Intake,3/7/1989,503,86,84.84379302,OMR,Interior,D,TT
Little Connection Sl. @ Empire Tr.,3/28/1989,148,9,53.31092405,SJRcorridor,Interior,D,TT
Clifton Court Intake,4/4/1989,231,25,59.46448107,OMR,Interior,D,TT
Rock Slough @ Old River,4/4/1989,194,19,59.46448107,OMR,Interior,D,TT
Little Connection Sl. @ Empire Tr.,4/25/1989,163,10,75.36664002,SJRcorridor,Interior,D,TT
Clifton Court Intake,5/2/1989,238,22,76.84548272,OMR,Interior,D,TT
Rock Slough @ Old River,5/2/1989,211,18,76.84548272,OMR,Interior,D,TT
Little Connection Sl. @ Empire Tr.,5/23/1989,165,10,79.21958813,SJRcorridor,Interior,D,TT
Rock Slough @ Old River,6/6/1989,271,37,82.54506532,OMR,Interior,D,TT
Clifton Court Intake,6/6/1989,266,30,82.54506532,OMR,Interior,D,TT
Little Connection Sl. @ Empire Tr.,6/21/1989,204,14,79.99610194,SJRcorridor,Interior,D,TT
Old River South of Rock Slough (St 5A),7/3/1989,282,36,84.23126759,OMR,Interior,D,TT
Clifton Court Intake,7/5/1989,333,39,83.6210952,OMR,Interior,D,TT
Rock Slough @ Old River,7/5/1989,284,38,83.6210952,OMR,Interior,D,TT
Little Connection Sl. @ Empire Tr.,7/18/1989,176,12,82.03252197,SJRcorridor,Interior,D,TT
Old River North of Rock Slough (St 4b),7/25/1989,350,68,80.02863026,OMR,Interior,D,TT
Middle River at Bacon Island Bridge,7/25/1989,200,25,80.02863026,OMR,Interior,D,TT
San Joaquin River @ Mossdale Bridge - C7A,7/25/1989,800,130,80.02863026,SJRcorridor,Interior,D,TT
Little Connection Sl. @ Empire Tr.,7/25/1989,130,4,80.02863026,SJRcorridor,Interior,D,TT
Old River nr Tracy,7/25/1989,850,140,80.02863026,SouthDelta,Interior,D,TT
Grant Ln Can @ Tracy Rd Bdg,7/25/1989,800,130,80.02863026,SouthDelta,Interior,D,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/25/1989,800,130,80.02863026,SouthDelta,Interior,D,TT
Rock Slough @ Old River,9/6/1989,552,106,85.82681958,OMR,Interior,D,TT
Little Connection Sl. @ Empire Tr.,9/20/1989,200,8,82.70448175,SJRcorridor,Interior,D,TT
Rock Slough @ Old River,10/2/1989,520,97,81.51083417,OMR,Interior,C,TT
Clifton Court Intake,10/2/1989,405,66,81.51083417,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,10/17/1989,162,9,85.49071827,SJRcorridor,Interior,C,TT
Rock Slough @ Old River,11/7/1989,638,135,87.11334397,OMR,Interior,C,TT
Clifton Court Intake,11/7/1989,469,78,87.11334397,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,11/7/1989,162,10,87.11334397,SJRcorridor,Interior,C,TT
Rock Slough @ Old River,12/5/1989,810,183,82.38805208,OMR,Interior,C,TT
Clifton Court Intake,12/5/1989,565,102,82.38805208,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,12/5/1989,195,14,82.38805208,SJRcorridor,Interior,C,TT
Rock Slough @ Old River,1/24/1990,962,222,79.66720736,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),1/24/1990,804,180,79.66720736,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,1/24/1990,420,73,79.66720736,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,1/24/1990,204,16,79.66720736,SJRcorridor,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,1/24/1990,1310,186,79.66720736,SJRcorridor,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,1/24/1990,1200,177,79.66720736,SouthDelta,Interior,C,TT
Old River nr Tracy,1/24/1990,1190,172,79.66720736,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,1/24/1990,1100,165,79.66720736,SouthDelta,Interior,C,TT
Old River South of Rock Slough (St 5A),2/2/1990,711,151,83.0339583,OMR,Interior,C,TT
Clifton Court Intake,2/7/1990,586,116,84.33818965,OMR,Interior,C,TT
Clifton Court Intake,2/14/1990,515,94,84.5852336,OMR,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,2/14/1990,1300,180,84.5852336,SJRcorridor,Interior,C,TT
Old River nr Tracy,2/14/1990,1320,186,84.5852336,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,2/14/1990,1240,173,84.5852336,SouthDelta,Interior,C,TT
Clifton Court Intake,2/21/1990,472,79,80.12996718,OMR,Interior,C,TT
Rock Slough @ Old River,2/23/1990,598,119,83.08252588,OMR,Interior,C,TT
Rock Slough @ Old River,3/20/1990,548,103,85.09103604,OMR,Interior,C,TT
Clifton Court Intake,3/20/1990,404,63,85.09103604,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),4/1/1990,751,160,92.60495482,OMR,Interior,C,TT
Clifton Court Intake,4/24/1990,532,101,86.79032173,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),4/25/1990,905,211,87.22990049,OMR,Interior,C,TT
Rock Slough @ Old River,4/25/1990,864,195,87.22990049,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,4/25/1990,349,58,87.22990049,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,4/25/1990,164,10,87.22990049,SJRcorridor,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,4/25/1990,823,111,87.22990049,SJRcorridor,Interior,C,TT
Old River nr Tracy,4/25/1990,1120,173,87.22990049,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,4/25/1990,839,121,87.22990049,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,4/25/1990,671,109,87.22990049,SouthDelta,Interior,C,TT
Rock Slough @ Old River,5/23/1990,660,141,90.30188297,OMR,Interior,C,TT
Clifton Court Intake,5/23/1990,654,132,90.30188297,OMR,Interior,C,TT
Rock Slough @ Old River,6/26/1990,377,58,87.03302324,OMR,Interior,C,TT
Clifton Court Intake,6/27/1990,786,132,84.4854239,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,7/9/1990,330,44,87.6328401,OMR,Interior,C,TT
Rock Slough @ Old River,7/10/1990,449,77,87.75334412,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),7/10/1990,408,68,87.75334412,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/10/1990,367,52,87.75334412,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),7/16/1990,450,83,85.00509504,OMR,Interior,C,TT
Rock Slough @ Old River,7/16/1990,441,77,85.00509504,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,7/16/1990,303,38,85.00509504,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/16/1990,777,114,85.00509504,SouthDelta,Interior,C,TT
Rock Slough @ Old River,7/26/1990,572,117,86.56430395,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),7/26/1990,524,104,86.56430395,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,7/26/1990,286,38,86.56430395,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,7/26/1990,160,10,86.56430395,SJRcorridor,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,7/26/1990,853,122,86.56430395,SJRcorridor,Interior,C,TT
Old River nr Tracy,7/26/1990,916,139,86.56430395,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,7/26/1990,843,122,86.56430395,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/26/1990,396,65,86.56430395,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,7/30/1990,281,39,85.42890232,OMR,Interior,C,TT
Rock Slough @ Old River,7/31/1990,547,113,85.26138636,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),7/31/1990,533,109,85.26138636,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/31/1990,828,126,85.26138636,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,8/6/1990,458,80,86.53798294,OMR,Interior,C,TT
Rock Slough @ Old River,8/7/1990,635,138,84.4251127,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/7/1990,595,126,84.4251127,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/7/1990,482,85,84.4251127,SouthDelta,Interior,C,TT
Rock Slough @ Old River,8/13/1990,508,105,82.37363354,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/13/1990,504,102,82.37363354,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,8/13/1990,296,43,82.37363354,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/13/1990,672,102,82.37363354,SouthDelta,Interior,C,TT
Clifton Court Intake,8/21/1990,397,69,82.94560259,OMR,Interior,C,TT
Rock Slough @ Old River,8/22/1990,477,94,83.47764088,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/22/1990,463,90,83.47764088,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,8/22/1990,269,34,83.47764088,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,8/22/1990,178,9,83.47764088,SJRcorridor,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,8/22/1990,738,101,83.47764088,SJRcorridor,Interior,C,TT
Old River nr Tracy,8/22/1990,857,126,83.47764088,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,8/22/1990,735,103,83.47764088,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/22/1990,652,95,83.47764088,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,8/27/1990,267,34,83.52017111,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/28/1990,464,90,84.07314596,OMR,Interior,C,TT
Rock Slough @ Old River,8/28/1990,461,89,84.07314596,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/28/1990,644,95,84.07314596,SouthDelta,Interior,C,TT
Old River South of Rock Slough (St 5A),9/4/1990,479,90,85.84737194,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,9/4/1990,293,37,85.84737194,OMR,Interior,C,TT
Rock Slough @ Old River,9/5/1990,483,90,86.59648732,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),9/5/1990,474,87,86.59648732,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/5/1990,816,122,86.59648732,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,9/10/1990,302,36,83.68375569,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),9/11/1990,527,101,86.1336185,OMR,Interior,C,TT
Rock Slough @ Old River,9/11/1990,510,99,86.1336185,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/11/1990,397,61,86.1336185,SouthDelta,Interior,C,TT
Rock Slough @ Old River,9/17/1990,548,105,85.19881494,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),9/17/1990,544,107,85.19881494,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/17/1990,422,64,85.19881494,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,9/18/1990,327,41,87.49634818,OMR,Interior,C,TT
Clifton Court Intake,9/24/1990,504,88,90.82305445,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,9/24/1990,368,49,90.82305445,OMR,Interior,C,TT
Rock Slough @ Old River,9/25/1990,583,114,91.8739207,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),9/25/1990,573,112,91.8739207,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/25/1990,447,73,91.8739207,SouthDelta,Interior,C,TT
Rock Slough @ Old River,10/1/1990,618,121,91.47315676,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/1/1990,613,120,91.47315676,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/1/1990,595,91,91.47315676,SouthDelta,Interior,C,TT
Contra Costa PP Number 01,10/2/1990,625,124,92.40360011,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,10/2/1990,437,62,92.40360011,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,10/10/1990,481,75,93.96433834,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/11/1990,836,187,94.23950241,OMR,Interior,C,TT
Rock Slough @ Old River,10/11/1990,816,178,94.23950241,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/11/1990,631,107,94.23950241,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,10/16/1990,542,85,94.0236734,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/17/1990,863,193,93.81403956,OMR,Interior,C,TT
Rock Slough @ Old River,10/17/1990,847,191,93.81403956,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/17/1990,761,129,93.81403956,SouthDelta,Interior,C,TT
Clifton Court Intake,10/23/1990,710,138,94.64630634,OMR,Interior,C,TT
Rock Slough @ Old River,10/24/1990,960,226,94.04183083,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/24/1990,921,216,94.04183083,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,10/24/1990,585,98,94.04183083,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,10/24/1990,191,13,94.04183083,SJRcorridor,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,10/24/1990,739,108,94.04183083,SJRcorridor,Interior,C,TT
Old River nr Tracy,10/24/1990,1140,187,94.04183083,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,10/24/1990,1030,162,94.04183083,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/24/1990,703,138,94.04183083,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,10/30/1990,656,103,93.26510574,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/31/1990,832,183,92.89347904,OMR,Interior,C,TT
Rock Slough @ Old River,10/31/1990,828,180,92.89347904,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/31/1990,817,142,92.89347904,SouthDelta,Interior,C,TT
Clifton Court Intake,11/13/1990,689,134,93.89378554,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,11/13/1990,625,101,93.89378554,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),11/14/1990,859,194,93.90716742,OMR,Interior,C,TT
Rock Slough @ Old River,11/14/1990,848,191,93.90716742,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,11/14/1990,715,132,93.90716742,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,11/27/1990,618,105,93.19458317,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),11/28/1990,959,220,92.60675328,OMR,Interior,C,TT
Rock Slough @ Old River,11/28/1990,949,214,92.60675328,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,11/28/1990,829,129,92.60675328,SouthDelta,Interior,C,TT
Clifton Court Intake,12/11/1990,853,185,93.08539402,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,12/11/1990,542,93,93.08539402,OMR,Interior,C,TT
Rock Slough @ Old River,12/12/1990,1100,257,93.02603777,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),12/12/1990,1060,248,93.02603777,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,12/12/1990,781,160,93.02603777,SouthDelta,Interior,C,TT
Rock Slough @ Old River,1/2/1991,907,207,93.51732212,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),1/2/1991,880,198,93.51732212,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,1/2/1991,536,93,93.51732212,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,1/2/1991,1100,164,93.51732212,SouthDelta,Interior,C,TT
Old River South of Rock Slough (St 5A),1/4/1991,860,191,93.20280671,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,1/15/1991,501,83,92.72130445,OMR,Interior,C,TT
Rock Slough @ Old River,1/16/1991,862,190,92.74078739,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),1/16/1991,861,187,92.74078739,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,1/16/1991,1150,167,92.74078739,SouthDelta,Interior,C,TT
Rock Slough @ Old River,1/29/1991,897,199,94.90599798,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),1/29/1991,878,195,94.90599798,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,1/29/1991,532,92,94.90599798,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,1/29/1991,344,39,94.90599798,SJRcorridor,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,1/29/1991,1100,169,94.90599798,SJRcorridor,Interior,C,TT
Old River nr Tracy,1/29/1991,1320,210,94.90599798,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,1/29/1991,1240,196,94.90599798,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,1/29/1991,700,133,94.90599798,SouthDelta,Interior,C,TT
Clifton Court Intake,1/31/1991,731,146,94.0793962,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),2/1/1991,881,194,94.15033685,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,2/13/1991,557,96,94.27904419,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),2/14/1991,1090,257,93.77396204,OMR,Interior,C,TT
Rock Slough @ Old River,2/14/1991,1070,250,93.77396204,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,2/14/1991,1080,168,93.77396204,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),2/25/1991,1080,250,94.18554964,OMR,Interior,C,TT
Rock Slough @ Old River,2/25/1991,1080,240,94.18554964,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,2/25/1991,840,157,94.18554964,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,2/26/1991,610,110,94.34149831,OMR,Interior,C,TT
Clifton Court Intake,2/27/1991,840,177,95.15255136,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),3/1/1991,1050,244,95.64094598,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,3/11/1991,514,84,78.62871498,OMR,Interior,C,TT
Rock Slough @ Old River,3/12/1991,859,184,78.72735886,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),3/12/1991,779,163,78.72735886,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,3/12/1991,1210,180,78.72735886,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,3/25/1991,469,72,72.32639176,OMR,Interior,C,TT
Rock Slough @ Old River,3/26/1991,567,104,72.01442228,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),3/26/1991,549,101,72.01442228,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,3/26/1991,698,84,72.01442228,SouthDelta,Interior,C,TT
Clifton Court Intake,3/27/1991,548,96,71.68911216,OMR,Interior,C,TT
Rock Slough @ Old River,4/9/1991,323,42,70.47185036,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),4/9/1991,320,40,70.47185036,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,4/9/1991,306,35,70.47185036,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,4/9/1991,666,88,70.47185036,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,4/23/1991,294,29,85.01362795,OMR,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,4/23/1991,1330,197,85.01362795,SJRcorridor,Interior,C,TT
Little Connection Sl. @ Empire Tr.,4/23/1991,251,20,85.01362795,SJRcorridor,Interior,C,TT
Old River nr Tracy,4/23/1991,1510,255,85.01362795,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,4/23/1991,1360,226,85.01362795,SouthDelta,Interior,C,TT
Clifton Court Intake,4/24/1991,792,116,86.48122671,OMR,Interior,C,TT
Contra Costa PP Number 01,5/21/1991,537,89,91.14886705,OMR,Interior,C,TT
Clifton Court Intake,5/21/1991,527,73,91.14886705,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,5/21/1991,359,45,91.14886705,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),5/22/1991,613,127,90.63835999,OMR,Interior,C,TT
Rock Slough @ Old River,5/22/1991,596,122,90.63835999,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,5/22/1991,479,65,90.63835999,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,6/11/1991,468,76,92.37007644,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),6/13/1991,719,148,92.96709129,OMR,Interior,C,TT
Rock Slough @ Old River,6/13/1991,713,147,92.96709129,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,6/13/1991,575,102,92.96709129,SouthDelta,Interior,C,TT
Contra Costa PP Number 01,6/24/1991,705,155,92.83977948,OMR,Interior,C,TT
Clifton Court Intake,6/25/1991,607,126,93.04612539,OMR,Interior,C,TT
Rock Slough @ Old River,6/26/1991,647,133,92.70986559,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),6/26/1991,639,131,92.70986559,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,6/26/1991,636,108,92.70986559,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,6/28/1991,451,72,91.92518677,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,7/8/1991,414,68,90.66370954,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),7/10/1991,648,135,92.07471565,OMR,Interior,C,TT
Rock Slough @ Old River,7/10/1991,630,130,92.07471565,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/10/1991,564,98,92.07471565,SouthDelta,Interior,C,TT
Clifton Court Intake,7/23/1991,528,106,91.47785985,OMR,Interior,C,TT
Rock Slough @ Old River,7/24/1991,596,135,92.78926842,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),7/24/1991,595,134,92.78926842,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,7/24/1991,404,66,92.78926842,OMR,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,7/24/1991,962,168,92.78926842,SJRcorridor,Interior,C,TT
Little Connection Sl. @ Empire Tr.,7/24/1991,275,40,92.78926842,SJRcorridor,Interior,C,TT
Old River nr Tracy,7/24/1991,1110,202,92.78926842,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,7/24/1991,974,176,92.78926842,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/24/1991,511,102,92.78926842,SouthDelta,Interior,C,TT
Middle R @ Tracy Rd Bdg,7/24/1991,454,71,92.78926842,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,8/5/1991,415,68,91.32485805,OMR,Interior,C,TT
Rock Slough @ Old River,8/7/1991,546,124,92.52821793,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/7/1991,539,120,92.52821793,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/7/1991,536,112,92.52821793,SouthDelta,Interior,C,TT
Contra Costa PP Number 01,8/21/1991,699,145,88.57096592,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),8/21/1991,551,110,88.57096592,OMR,Interior,C,TT
Rock Slough @ Old River,8/21/1991,550,110,88.57096592,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,8/21/1991,347,55,88.57096592,OMR,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,8/21/1991,950,156,88.57096592,SJRcorridor,Interior,C,TT
Little Connection Sl. @ Empire Tr.,8/21/1991,245,29,88.57096592,SJRcorridor,Interior,C,TT
Old River nr Tracy,8/21/1991,1140,195,88.57096592,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,8/21/1991,1000,174,88.57096592,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,8/21/1991,840,135,88.57096592,SouthDelta,Interior,C,TT
Clifton Court Intake,9/10/1991,469,87,92.73110822,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,9/10/1991,323,48,92.73110822,OMR,Interior,C,TT
Contra Costa PP Number 01,9/11/1991,782,166,92.53683095,OMR,Interior,C,TT
Rock Slough @ Old River,9/12/1991,722,159,88.08357466,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),9/12/1991,702,156,88.08357466,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/12/1991,423,71,88.08357466,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,9/24/1991,365,55,90.17385402,OMR,Interior,C,TT
Rock Slough @ Old River,9/26/1991,741,162,89.13268814,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),9/26/1991,705,149,89.13268814,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,9/26/1991,457,80,89.13268814,SouthDelta,Interior,C,TT
Middle River at Bacon Island Bridge,10/8/1991,398,57,88.19157893,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),10/10/1991,563,110,88.47167384,OMR,Interior,C,TT
Rock Slough @ Old River,10/10/1991,554,106,88.47167384,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/10/1991,430,70,88.47167384,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),10/23/1991,665,138,94.27657666,OMR,Interior,C,TT
Rock Slough @ Old River,10/23/1991,637,133,94.27657666,OMR,Interior,C,TT
Contra Costa PP Number 01,10/23/1991,585,118,94.27657666,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,10/23/1991,365,53,94.27657666,OMR,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,10/23/1991,727,108,94.27657666,SJRcorridor,Interior,C,TT
Little Connection Sl. @ Empire Tr.,10/23/1991,160,12,94.27657666,SJRcorridor,Interior,C,TT
Old River nr Tracy,10/23/1991,1220,202,94.27657666,SouthDelta,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,10/23/1991,997,156,94.27657666,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,10/23/1991,463,81,94.27657666,SouthDelta,Interior,C,TT
Contra Costa PP Number 01,11/19/1991,836,186,93.6335894,OMR,Interior,C,TT
Clifton Court Intake,11/21/1991,688,141,93.42904814,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,11/21/1991,547,93,93.42904814,OMR,Interior,C,TT
Contra Costa PP Number 01,12/9/1991,988,233,94.2937316,OMR,Interior,C,TT
Clifton Court Intake,12/11/1991,810,158,94.35994762,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,12/11/1991,609,114,94.35994762,OMR,Interior,C,TT
Rock Slough @ Old River,12/19/1991,967,215,95.49778406,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),12/19/1991,950,215,95.49778406,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,12/19/1991,909,150,95.49778406,SouthDelta,Interior,C,TT
