Long Station Name,Collection Date,EC,Mg,Sacramento X2,Location,Area,WYT,Data
Old River South of Rock Slough (St 5A),11/14/1980,219,7,78.251066,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),11/24/1980,225,7,79.91615184,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),12/5/1980,220,7,81.24381742,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),12/16/1980,205,7,70.43542093,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),1/6/1981,209,8,79.42709404,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),1/20/1981,227,8,84.3665229,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),2/3/1981,325,10,59.47117587,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),2/16/1981,279,9,68.66305851,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),3/4/1981,263,9,75.67405581,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),3/20/1981,294,9,75.19545039,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),4/3/1981,360,11,60.26052112,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),4/23/1981,226,8,75.00542927,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),5/12/1981,269,9,80.86307077,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),6/2/1981,232,8,75.30547237,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),6/18/1981,243,8,80.97126487,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),6/30/1981,287,9,87.70223073,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),7/16/1981,366,10,87.76825037,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),8/3/1981,553,13,85.40012999,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),8/18/1981,628,15,87.20292234,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),9/2/1981,793,18,89.4339165,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),9/18/1981,758,18,85.78904211,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),10/14/1981,557,16,89.11569229,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),11/10/1981,545,15,88.94945498,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),11/24/1981,451,13,65.98476899,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),12/3/1981,423,12,52.53667998,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),12/18/1981,254,8,56.1313435,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),1/5/1982,240,9,0,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),2/5/1982,275,9,58.92308216,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),2/22/1982,295,9,0,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),3/15/1982,207,6,49.23180133,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),4/16/1982,348,9,0,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),5/5/1982,178,4,53.20631662,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),5/24/1982,196,5,58.78823135,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),6/22/1982,253,6,65.44959567,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),7/21/1982,244,7,78.29621658,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),8/17/1982,184,6,76.46364235,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),9/13/1982,208,7,66.6341757,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),10/19/1982,234,7,67.33005042,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),11/16/1982,180,6,65.44459814,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),12/14/1982,240,6,58.19292799,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),1/20/1983,281,8,63.15136317,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),2/17/1983,336,8,0,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),3/21/1983,338,8,0,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),4/18/1983,211,5,51.81872331,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),5/25/1983,170,5,53.44081668,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),7/20/1983,138,4,57.24485942,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),8/26/1983,175,6,63.12853224,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),9/16/1983,248,10,64.13561458,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),10/20/1983,154,4,64.89019526,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),11/15/1983,427,11,59.86273225,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),12/14/1983,192,5,49.15904734,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),1/18/1984,230,6,52.80804893,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),3/19/1984,261,8,57.98189429,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),4/16/1984,238,7,68.44196634,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),5/17/1984,201,7,71.23309041,OMR,Interior,W,TT
Rock Slough @ Old River,5/30/1984,194,7,76.19129629,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),6/22/1984,190,7,74.34286418,OMR,Interior,W,TT
Clifton Court Intake,6/27/1984,472,13,78.52956136,OMR,Interior,W,TT
Rock Slough @ Old River,6/27/1984,189,6.7,78.52956136,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),7/18/1984,209,7,75.88810175,OMR,Interior,W,TT
Clifton Court Intake,7/25/1984,212,6.6,75.0760343,OMR,Interior,W,TT
Rock Slough @ Old River,7/25/1984,217,6.5,75.0760343,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),8/20/1984,192,6,72.85477497,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),8/21/1984,232,8,77.90828234,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),9/17/1984,209,8,68.46687852,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),11/13/1984,177,6,76.76724225,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),1/22/1985,264,9,72.39109753,OMR,Interior,D,TT
Clifton Court Intake,1/30/1985,348,10,71.87547462,OMR,Interior,D,TT
Rock Slough @ Old River,1/30/1985,284,10,71.87547462,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),2/21/1985,271,10,68.61311727,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),3/15/1985,266,9,71.66117266,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),4/16/1985,240,10,77.63759448,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),5/16/1985,241,8,77.45709937,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),6/20/1985,302,9,86.18412719,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),10/22/1985,639,16,91.1066811,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),11/18/1985,992,22,93.20373275,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),12/17/1985,605,16,77.70271234,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),1/16/1986,530,15,84.02165809,OMR,Interior,W,TT
Clifton Court Intake,3/4/1986,306,7,0,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),3/21/1986,210,7,0,OMR,Interior,W,TT
Clifton Court Intake,4/9/1986,197,5,52.99907803,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),4/16/1986,203,5,57.82517336,OMR,Interior,W,TT
Clifton Court Intake,5/7/1986,280,7,66.57784182,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),5/20/1986,233,7,69.94743635,OMR,Interior,W,TT
Clifton Court Intake,6/4/1986,303,8,70.7018673,OMR,Interior,W,TT
Rock Slough @ Old River,7/2/1986,225,8,77.07568175,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),8/5/1986,723,19,80.38588581,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),8/7/1986,229,8,81.25987168,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),9/9/1986,308,10,80.98620884,OMR,Interior,W,TT
Rock Slough @ Old River,9/24/1986,285,9,76.64482557,OMR,Interior,W,TT
Old River South of Rock Slough (St 5A),4/7/1987,285,9,66.96371811,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),5/4/1987,284,10,81.35372487,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),6/1/1987,458,14,84.03896739,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),7/7/1987,505,14,85.52687347,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),8/3/1987,564,15,84.30302728,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),12/3/1987,1000,28,94.23731184,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),1/6/1988,669,20,87.58232555,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),3/1/1988,540,16,91.84800955,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),6/28/1988,533,16,88.84197167,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),6/28/1988,512,15,88.84197167,OMR,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,3/2/1989,1370,35,91.3346382,SJRcorridor,Interior,D,TT
Grant Ln Can @ Tracy Rd Bdg,3/2/1989,1430,38,91.3346382,SouthDelta,Interior,D,TT
Old River nr Tracy,3/2/1989,1410,38,91.3346382,SouthDelta,Interior,D,TT
Middle R @ Tracy Rd Bdg,3/2/1989,506,16,91.3346382,SouthDelta,Interior,D,TT
Old River South of Rock Slough (St 5A),3/3/1989,807,20,93.76129389,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),7/3/1989,282,8,84.23126759,OMR,Interior,D,TT
Old River North of Rock Slough (St 4b),7/25/1989,350,11,80.02863026,OMR,Interior,D,TT
Middle River at Bacon Island Bridge,7/25/1989,200,6,80.02863026,OMR,Interior,D,TT
San Joaquin River @ Mossdale Bridge - C7A,7/25/1989,800,18,80.02863026,SJRcorridor,Interior,D,TT
Little Connection Sl. @ Empire Tr.,7/25/1989,130,9,80.02863026,SJRcorridor,Interior,D,TT
Grant Ln Can @ Tracy Rd Bdg,7/25/1989,800,24,80.02863026,SouthDelta,Interior,D,TT
Old River nr Tracy,7/25/1989,850,23,80.02863026,SouthDelta,Interior,D,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/25/1989,800,19,80.02863026,SouthDelta,Interior,D,TT
Old River North of Rock Slough (St 4b),1/24/1990,804,18,79.66720736,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,1/24/1990,420,12,79.66720736,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,1/24/1990,204,8,79.66720736,SJRcorridor,Interior,C,TT
San Joaquin River @ Mossdale Bridge - C7A,1/24/1990,1310,33,79.66720736,SJRcorridor,Interior,C,TT
Grant Ln Can @ Tracy Rd Bdg,1/24/1990,1200,30,79.66720736,SouthDelta,Interior,C,TT
Old River nr Tracy,1/24/1990,1190,29,79.66720736,SouthDelta,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,1/24/1990,1100,28,79.66720736,SouthDelta,Interior,C,TT
Old River South of Rock Slough (St 5A),2/2/1990,711,18,83.0339583,OMR,Interior,C,TT
Clifton Court Intake,2/14/1990,515,14,84.5852336,OMR,Interior,C,TT
