ion,a,b,c
TDS,6.32E-05,0.5,13.8
Mg,3.73E-06,0.0203,2.6
Na,-8.52E-06,0.136,-10.5
Ca,2.66E-05,0.0107,8.3
Cl,-6.56E-05,0.259,-30.3
SO4,1.15E-04,0.00158,5.1
Br,-3.31E-07,0.000963,-0.12
Alkalinity,2.91E-05,0.0545,41.1
K,-3.01E-06,0.00708,0.4
